# x_m,y_m,w_tr_right_m,w_tr_left_m
-108.5358,65.2188,3.5,3.5
-109.0312,63.51832,3.5,3.5
-109.5663,61.82755,3.5,3.5
-110.1341,60.17226,3.5,3.5
-110.7568,58.49633,3.5,3.5
-111.4079,56.8777,3.5,3.5
-112.1226,55.23649,3.5,3.5
-112.8699,53.65215,3.5,3.5
-113.6816,52.06504,3.5,3.5
-114.5334,50.53158,3.5,3.5
-115.4552,49.00718,3.5,3.5
-116.4197,47.54661,3.5,3.5
-117.4673,46.10051,3.5,3.5
-118.5581,44.73516,3.5,3.5
-119.7433,43.40006,3.5,3.5
-120.9878,42.15081,3.5,3.5
-122.3063,40.98528,3.5,3.5
-123.7194,39.90473,3.5,3.5
-125.1994,38.94912,3.5,3.5
-126.755,38.12966,3.5,3.5
-128.4005,37.46124,3.5,3.5
-130.0998,36.97947,3.5,3.5
-131.8407,36.70262,3.5,3.5
-133.6055,36.64598,3.5,3.5
-135.3638,36.81717,3.5,3.5
-137.081,37.21013,3.5,3.5
-138.7393,37.81061,3.5,3.5
-140.3286,38.60143,3.5,3.5
-141.8161,39.54551,3.5,3.5
-143.206,40.61977,3.5,3.5
-144.522,41.82275,3.5,3.5
-145.7267,43.09739,3.5,3.5
-146.8549,44.45659,3.5,3.5
-147.909,45.8861,3.5,3.5
-148.8761,47.34866,3.5,3.5
-149.7908,48.88019,3.5,3.5
-150.6256,50.41861,3.5,3.5
-151.4149,52.01214,3.5,3.5
-152.1427,53.61653,3.5,3.5
-152.8206,55.24303,3.5,3.5
-153.4615,56.91428,3.5,3.5
-154.0412,58.55304,3.5,3.5
-154.5984,60.2591,3.5,3.5
-155.1425,61.99245,3.5,3.5
-155.7102,63.66962,3.5,3.5
-156.3105,65.30661,3.5,3.5
-156.9731,66.97368,3.5,3.5
-157.6635,68.57661,3.5,3.5
-158.4186,70.19383,3.5,3.5
-159.2141,71.76379,3.5,3.5
-160.067,73.31376,3.5,3.5
-160.9753,74.83133,3.5,3.5
-161.9386,76.3082,3.5,3.5
-162.9661,77.75036,3.5,3.5
-164.0517,79.14133,3.5,3.5
-165.2022,80.48218,3.5,3.5
-166.4195,81.76715,3.5,3.5
-167.6933,82.97887,3.5,3.5
-169.0462,84.13132,3.5,3.5
-170.4459,85.1908,3.5,3.5
-171.9238,86.17539,3.5,3.5
-173.4521,87.06048,3.5,3.5
-175.0294,87.8428,3.5,3.5
-176.6673,88.52393,3.5,3.5
-178.3391,89.0901,3.5,3.5
-180.0454,89.54117,3.5,3.5
-181.7836,89.8756,3.5,3.5
-183.5369,90.09048,3.5,3.5
-185.3009,90.18694,3.5,3.5
-187.0689,90.16631,3.5,3.5
-188.8309,90.03105,3.5,3.5
-190.5819,89.78421,3.5,3.5
-192.313,89.43006,3.5,3.5
-194.0201,88.97256,3.5,3.5
-195.6994,88.41553,3.5,3.5
-197.3419,87.76504,3.5,3.5
-198.9465,87.02451,3.5,3.5
-200.5111,86.19736,3.5,3.5
-202.0272,85.29047,3.5,3.5
-203.4951,84.30621,3.5,3.5
-204.9132,83.24715,3.5,3.5
-206.2739,82.12085,3.5,3.5
-207.5783,80.92794,3.5,3.5
-208.8247,79.67075,3.5,3.5
-210.0054,78.35792,3.5,3.5
-211.1228,76.98766,3.5,3.5
-212.1735,75.56392,3.5,3.5
-213.1523,74.09416,3.5,3.5
-214.0603,72.57623,3.5,3.5
-214.8933,71.01665,3.5,3.5
-215.6487,69.42003,3.5,3.5
-216.328,67.78085,3.5,3.5
-216.9337,66.11319,3.5,3.5
-217.4632,64.4273,3.5,3.5
-217.9104,62.72505,3.5,3.5
-218.2731,60.98852,3.5,3.5
-218.5392,59.24299,3.5,3.5
-218.7041,57.48697,3.5,3.5
-218.7628,55.71828,3.5,3.5
-218.7107,53.95346,3.5,3.5
-218.5456,52.19314,3.5,3.5
-218.2678,50.44986,3.5,3.5
-217.8792,48.72864,3.5,3.5
-217.381,47.02768,3.5,3.5
-216.784,45.37017,3.5,3.5
-216.0911,43.74759,3.5,3.5
-215.3032,42.15197,3.5,3.5
-214.4473,40.62276,3.5,3.5
-213.5081,39.11891,3.5,3.5
-212.5074,37.66562,3.5,3.5
-211.4479,36.25535,3.5,3.5
-210.3281,34.87767,3.5,3.5
-209.173,33.55474,3.5,3.5
-207.9587,32.25185,3.5,3.5
-206.7259,31.00629,3.5,3.5
-205.4391,29.776,3.5,3.5
-204.1398,28.59597,3.5,3.5
